,game_id,home_team,away_team,season_type,season,week,game_date,home_score,away_score,result,div_game,location,roof,surface,home_sp,home_yards_gained,home_yards_after_catch,home_epa,home_air_epa,home_yac_epa,home_comp_air_epa,home_comp_yac_epa,home_wpa,home_vegas_wpa,home_air_wpa,home_yac_wpa,home_comp_air_wpa,home_comp_yac_wpa,home_third_down_converted,home_fourth_down_converted,home_interception,home_fumble_lost,home_qb_hit,home_rush_attempt,home_pass_attempt,home_sack,home_touchdown,home_success,home_penalty,home_penalty_yards,away_sp,away_yards_gained,away_yards_after_catch,away_epa,away_air_epa,away_yac_epa,away_comp_air_epa,away_comp_yac_epa,away_wpa,away_vegas_wpa,away_air_wpa,away_yac_wpa,away_comp_air_wpa,away_comp_yac_wpa,away_third_down_converted,away_fourth_down_converted,away_interception,away_fumble_lost,away_qb_hit,away_rush_attempt,away_pass_attempt,away_sack,away_touchdown,away_success,away_penalty,away_penalty_yards,POST,REG,Home,Neutral,closed,dome,open,outdoors,,a_turf,astroplay,astroturf,fieldturf,grass,matrixturf,sportturf
17694,2010_07_OAK_DEN,DEN,LV,REG,2010,7,2010-10-24,14,59,-45,1,Home,outdoors,grass,0.0,50.0,12.0,4.918168,4.055583,0.67081654,4.055583,0.67081654,-0.0033269727,-0.018615045,0.0016897484,0.0007248488,0.0016897484,0.0007248488,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,1.0,23.0,1.0,0.20533288,1.4608457,0.12600403,1.4608457,0.12600403,-0.008553915,0.033688467,0.0,0.0022665858,0.0,0.0022665858,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
33861,2012_13_NO_ATL,ATL,NO,REG,2012,13,2012-11-29,23,13,10,1,Home,dome,fieldturf,0.0,14.0,0.0,-4.1990767,5.9589815,-8.0966215,0.96533,0.0,-0.07971974,-0.08048941,0.026009142,-0.07406855,0.026009142,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,6.0,3.043962,6.65252,-0.38074756,4.3396263,2.6945806,0.06407602,0.0057852045,0.07137493,0.073408596,0.07137493,0.09269825,3.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
33710,2011_13_NYJ_WAS,WAS,NYJ,REG,2011,13,2011-12-04,19,34,-15,0,Home,outdoors,grass,0.0,21.0,0.0,1.1880982,-0.95894444,-0.18799669,0.0,0.0,0.07243329,0.040162712,0.0,-0.040973544,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,0.20328522,-1.3150551,-0.56683147,-1.9971023,0.5037087,-0.100794435,-0.082948744,-0.05076146,-0.036401182,-0.05076146,-0.022316486,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
10170,2015_04_JAX_IND,IND,JAX,REG,2015,4,2015-10-04,16,13,3,1,Home,open,fieldturf,1.0,60.0,11.0,-3.875403,5.042951,-2.15907,2.9387345,1.1922938,0.06455533,0.020500705,0.1283582,0.097634226,0.1283582,0.14450297,1.0,0.0,0.0,1.0,1.0,5.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,31.0,11.0,-1.2941457,0.9208593,-2.403264,-1.2551223,1.8245238,-0.073624104,-0.046639144,0.0,-0.06341532,0.0,0.030607462,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
42820,2020_16_SF_ARI,ARI,SF,REG,2020,16,2020-12-26,12,20,-8,1,Home,closed,grass,1.0,42.0,5.0,1.7046578,-1.4852715,0.12404345,-1.4852715,0.12404345,-0.023848638,0.020031214,-0.5610491,0.4366858,-0.5610491,0.4366858,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,48.0,0.0,0.062131047,0.0,0.0,0.0,0.0,0.017330289,0.021129608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
46365,2015_17_TB_CAR,CAR,TB,REG,2015,17,2016-01-03,38,10,28,1,Home,outdoors,grass,3.0,96.0,14.0,9.316098,7.072702,1.2583481,7.072702,1.2583481,0.17986992,0.09507166,0.016384145,0.11638951,0.016384145,0.11638951,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,57.0,34.0,0.24049318,-1.4521985,3.1831837,-1.4521985,3.1831837,0.020451296,0.004200015,0.0,0.05509153,0.0,0.05509153,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8075,2020_03_SF_NYG,NYG,SF,REG,2020,3,2020-09-27,9,36,-27,0,Home,outdoors,fieldturf,1.0,58.0,13.0,0.5592545,1.5068853,-3.1515808,1.5068853,-3.1515808,0.0719598,0.0738511,0.0,0.028654896,0.0,0.028654896,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,53.0,12.0,1.5729566,2.1981854,0.505429,1.4146135,1.836255,-0.00083258003,0.018296003,0.0,0.028475642,0.0,0.046449542,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
42463,2016_16_NYG_PHI,PHI,NYG,REG,2016,16,2016-12-22,24,19,5,1,Home,outdoors,grass,2.0,21.0,8.0,-1.9094081,5.8524127,-7.2735715,0.7871664,0.3564373,-0.026773402,-0.0614771,0.012699127,-0.043402314,0.012699127,0.014401972,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,28.0,1.0,2.9387178,14.02383,-12.745405,2.9442496,-0.14855559,0.111281976,0.03327494,0.020578489,0.029006466,0.03855066,0.090458825,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
22778,2015_09_GB_CAR,CAR,GB,REG,2015,9,2015-11-08,37,29,8,0,Home,outdoors,grass,1.0,40.0,11.0,-5.8744373,5.076358,-8.974514,-0.31613272,1.7866017,-0.06965803,-0.035865955,-0.00020223856,-0.050910622,0.0,0.0072028935,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,3.0,1.0,1.0,0.0,20.0,5.0,-1.941466,3.8216853,-4.177902,0.6755747,0.7985441,-0.0626764,-0.024088025,0.0,-0.05308162,0.0,-0.017189108,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,5.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
25274,2011_10_NO_ATL,ATL,NO,REG,2011,10,2011-11-13,23,26,-3,1,Home,dome,fieldturf,3.0,35.0,1.0,-5.4169397,-0.8566141,-6.0396676,-0.17035341,1.1492842,0.041114748,-0.044931322,-0.14937794,-0.112619705,-0.14937794,0.09650292,1.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,11.0,16.0,-1.7003493,-3.6535788,1.6231039,-3.6535788,1.6231039,-0.07078398,-0.059560575,-0.060506623,-0.0013473779,-0.060506623,-0.0013473779,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9817,2016_04_DET_CHI,CHI,DET,REG,2016,4,2016-10-02,17,14,3,1,Home,outdoors,grass,0.0,52.0,29.0,0.5236137,-0.56312966,1.5391729,-1.2337588,2.5376067,0.06227702,0.06550041,0.0019479394,0.027698219,0.0019479394,0.040157616,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,-2.5192685,0.7632278,-0.750326,0.6388004,0.0,-0.054515332,-0.039615273,0.039583504,-0.013693437,0.039583504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
